ASTATE,DISTRICT,TEHSIL,VILLAGE,TOTAL_OF_ROR,TOTAL_OF_LAND_OWNER,ROR_DATA_ENTRY_AS_OF_P_S,AVAILABILITY_OF_ROR_DISTRIBUTION_P_S,ROR_LINKAGE_WITH_AA_COMPLETED,ROR_LINKAGE_WITH_AA_ONGOING,OF_LAND_OWNER_HOLDERS_WHOSE_ROR_L_W_A,WHETHER_MUTATION_NOTICE_AND_MUTATION_WORKFLOW_A_C,ISSUANCE_OF_DIGITALLY_SIGNED_ROR,ICT_CHANNEL_OF_DISTRIBUTION_OF_ROR,STATUS_ENTRY_DATE,STATE_CODE,DISTRICT_CODE,TEHSIL_CODE,URL_DISTRICT,URL_TEHSIL
UTTAR PRADESH,Agra,Agra,Abhaypura,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Akbarpur,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Akola,1,0,Completed,Done,0,0,0,Done,Done,"CSC, CSC",2022-06-03,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Anguthi,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Artauni,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Azizpur,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Babarpur Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Babarpur Mustkil,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bad,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bagda,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bahenta,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bain Khera,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bainpur Mustkil,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Baipur Ehtmali,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bajhera,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Balhera,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bamrauli Ahir,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Bamrauli Katara,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
UTTAR PRADESH,Agra,Agra,Barara,1,0,Completed,Done,Not Started,Not Started,NR,Done,Done,CSC,2016-04-21,9,146,766,https://dilrmp.gov.in/faces/rptphysical/rptClrStatus.xhtml?tehcode=766,https://dilrmp.gov.in/faces/rpttehsilwisephysical/rptComputerizationOfLandRecord.xhtml?districtcode=146
